TIME,Pressão Média,Pressão Máxima,Pressão Mínima
2026-03-25 18:11:02,,,
2026-03-25 18:41:40,1013.77 hPa,1013.85 hPa,1013.68 hPa
2026-03-25 18:41:40,1013.77 hPa,1013.85 hPa,1013.68 hPa
2026-03-25 19:11:46,1014.22 hPa,1014.67 hPa,1013.79 hPa
2026-03-25 19:11:46,1014.22 hPa,1014.67 hPa,1013.79 hPa
2026-03-25 19:41:52,1014.82 hPa,1014.91 hPa,1014.70 hPa
2026-03-25 19:41:52,1014.82 hPa,1014.91 hPa,1014.70 hPa
2026-03-25 20:11:58,1014.91 hPa,1015.00 hPa,1014.83 hPa
2026-03-25 20:11:58,1014.91 hPa,1015.00 hPa,1014.83 hPa
2026-03-25 20:42:04,1015.05 hPa,1015.15 hPa,1014.97 hPa
2026-03-25 21:12:10,1015.28 hPa,1015.47 hPa,1015.05 hPa
2026-03-25 21:42:17,1015.57 hPa,1015.74 hPa,1015.45 hPa
2026-03-25 21:42:17,1015.57 hPa,1015.74 hPa,1015.45 hPa
2026-03-25 22:12:23,1015.71 hPa,1015.92 hPa,1015.58 hPa
2026-03-25 22:42:29,1015.87 hPa,1015.96 hPa,1015.80 hPa
2026-03-25 22:42:29,1015.87 hPa,1015.96 hPa,1015.80 hPa
2026-03-25 23:12:35,1016.04 hPa,1016.19 hPa,1015.90 hPa
2026-03-25 23:12:35,1016.04 hPa,1016.19 hPa,1015.90 hPa
2026-03-25 23:42:42,1015.72 hPa,1015.86 hPa,1015.64 hPa
2026-03-26 00:12:48,1016.16 hPa,1016.50 hPa,1015.68 hPa
2026-03-26 00:12:48,1016.16 hPa,1016.50 hPa,1015.68 hPa
2026-03-26 00:42:54,1015.50 hPa,1015.64 hPa,1015.39 hPa
2026-03-26 00:42:54,1015.50 hPa,1015.64 hPa,1015.39 hPa
2026-03-26 01:13:00,1015.53 hPa,1015.61 hPa,1015.46 hPa
2026-03-26 01:13:00,1015.53 hPa,1015.61 hPa,1015.46 hPa
2026-03-26 01:43:07,1015.71 hPa,1015.81 hPa,1015.60 hPa
2026-03-26 01:43:07,1015.71 hPa,1015.81 hPa,1015.60 hPa
2026-03-26 02:13:13,1015.45 hPa,1015.60 hPa,1015.23 hPa
2026-03-26 02:43:19,1015.44 hPa,1015.54 hPa,1015.37 hPa
2026-03-26 02:43:19,1015.44 hPa,1015.54 hPa,1015.37 hPa
2026-03-26 03:13:31,1015.48 hPa,1015.54 hPa,1015.43 hPa
2026-03-26 03:43:37,1015.28 hPa,1015.47 hPa,1015.15 hPa
2026-03-26 04:13:43,1015.12 hPa,1015.18 hPa,1015.07 hPa
2026-03-26 04:13:43,1015.12 hPa,1015.18 hPa,1015.07 hPa
2026-03-26 05:13:56,1014.93 hPa,1014.97 hPa,1014.91 hPa
2026-03-26 05:13:56,1014.93 hPa,1014.97 hPa,1014.91 hPa
2026-03-26 05:44:02,1014.94 hPa,1015.00 hPa,1014.89 hPa
2026-03-26 05:44:02,1014.94 hPa,1015.00 hPa,1014.89 hPa
2026-03-26 06:14:08,1015.06 hPa,1015.15 hPa,1014.92 hPa
2026-03-26 06:14:08,1015.06 hPa,1015.15 hPa,1014.92 hPa
2026-03-26 06:44:14,1015.29 hPa,1015.55 hPa,1015.14 hPa
2026-03-26 06:44:14,1015.29 hPa,1015.55 hPa,1015.14 hPa
2026-03-26 07:14:20,1015.78 hPa,1015.97 hPa,1015.58 hPa
2026-03-26 07:14:20,1015.78 hPa,1015.97 hPa,1015.58 hPa
2026-03-26 07:44:27,1016.09 hPa,1016.30 hPa,1015.93 hPa
2026-03-26 08:44:39,1016.89 hPa,1017.04 hPa,1016.70 hPa
2026-03-26 08:44:39,1016.89 hPa,1017.04 hPa,1016.70 hPa
2026-03-26 09:14:57,1017.27 hPa,1017.50 hPa,1017.03 hPa
2026-03-26 09:14:57,1017.27 hPa,1017.50 hPa,1017.03 hPa
2026-03-26 09:45:04,1017.50 hPa,1017.59 hPa,1017.44 hPa
2026-03-26 10:15:17,1017.59 hPa,1017.66 hPa,1017.52 hPa
2026-03-26 10:45:30,1017.62 hPa,1017.69 hPa,1017.56 hPa
2026-03-26 11:15:43,1017.60 hPa,1017.66 hPa,1017.54 hPa
2026-03-26 11:46:01,1017.51 hPa,1017.60 hPa,1017.45 hPa
2026-03-26 12:16:07,1017.42 hPa,1017.51 hPa,1017.29 hPa
2026-03-26 12:46:13,1017.18 hPa,1017.34 hPa,1016.97 hPa
2026-03-26 13:16:20,1016.75 hPa,1016.99 hPa,1016.63 hPa
2026-03-26 14:16:32,1016.14 hPa,1016.30 hPa,1015.99 hPa
2026-03-26 14:46:38,1015.77 hPa,1016.03 hPa,1015.49 hPa
2026-03-26 15:16:44,1015.35 hPa,1015.51 hPa,1015.19 hPa
2026-03-26 15:46:56,1014.95 hPa,1015.24 hPa,1014.70 hPa
2026-03-26 16:17:02,1014.45 hPa,1014.71 hPa,1014.24 hPa
2026-03-26 16:47:09,1014.21 hPa,1014.30 hPa,1014.11 hPa
2026-03-26 16:47:09,1014.21 hPa,1014.30 hPa,1014.11 hPa
2026-03-26 17:17:15,1014.21 hPa,1014.31 hPa,1014.09 hPa
2026-03-26 17:47:21,1014.05 hPa,1014.13 hPa,1013.96 hPa
2026-03-26 18:17:27,1014.22 hPa,1014.35 hPa,1014.11 hPa
2026-03-26 18:17:27,1014.22 hPa,1014.35 hPa,1014.11 hPa
2026-03-26 18:47:34,1014.44 hPa,1014.58 hPa,1014.32 hPa
2026-03-26 19:17:40,1014.69 hPa,1014.91 hPa,1014.56 hPa
2026-03-26 19:17:40,1014.69 hPa,1014.91 hPa,1014.56 hPa
2026-03-26 19:47:46,1015.04 hPa,1015.21 hPa,1014.90 hPa
2026-03-26 20:17:52,1015.40 hPa,1015.67 hPa,1015.18 hPa
2026-03-26 21:18:04,1015.96 hPa,1016.05 hPa,1015.87 hPa
2026-03-26 21:18:04,1015.96 hPa,1016.05 hPa,1015.87 hPa
2026-03-26 21:48:11,1016.24 hPa,1016.35 hPa,1016.09 hPa
2026-03-26 21:48:11,1016.24 hPa,1016.35 hPa,1016.09 hPa
2026-03-26 22:18:17,1016.46 hPa,1016.55 hPa,1016.37 hPa
2026-03-26 22:18:17,1016.46 hPa,1016.55 hPa,1016.37 hPa
2026-03-26 22:48:23,1016.50 hPa,1016.56 hPa,1016.45 hPa
2026-03-26 22:48:23,1016.50 hPa,1016.56 hPa,1016.45 hPa
2026-03-26 23:18:29,1016.45 hPa,1016.50 hPa,1016.41 hPa
2026-03-26 23:48:36,1016.39 hPa,1016.50 hPa,1016.28 hPa
2026-03-27 00:18:42,1016.28 hPa,1016.32 hPa,1016.25 hPa
2026-03-27 00:48:48,1016.23 hPa,1016.32 hPa,1016.15 hPa
2026-03-27 01:18:54,1016.23 hPa,1016.30 hPa,1016.19 hPa
2026-03-27 01:49:12,1016.20 hPa,1016.24 hPa,1016.16 hPa
2026-03-27 17:52:42,1016.25 hPa,1016.38 hPa,1016.07 hPa
2026-03-27 17:52:42,1016.25 hPa,1016.38 hPa,1016.07 hPa
2026-03-27 18:22:48,1015.96 hPa,1016.07 hPa,1015.80 hPa
2026-03-27 18:52:54,1015.79 hPa,1015.95 hPa,1015.72 hPa
2026-03-27 18:52:54,1015.79 hPa,1015.95 hPa,1015.72 hPa
2026-03-27 18:52:54,1015.79 hPa,1015.95 hPa,1015.72 hPa
2026-03-27 19:23:00,1016.06 hPa,1016.26 hPa,1015.92 hPa
2026-03-27 19:23:00,1016.06 hPa,1016.26 hPa,1015.92 hPa
2026-03-27 19:23:00,1016.06 hPa,1016.26 hPa,1015.92 hPa
2026-03-27 19:53:06,1016.49 hPa,1016.75 hPa,1016.27 hPa
2026-03-27 20:23:13,1016.92 hPa,1017.21 hPa,1016.75 hPa
2026-03-27 20:53:19,1017.40 hPa,1017.67 hPa,1017.18 hPa
2026-03-27 21:23:25,1017.76 hPa,1017.88 hPa,1017.68 hPa
2026-03-27 21:23:25,1017.76 hPa,1017.88 hPa,1017.68 hPa
2026-03-27 21:53:31,1018.00 hPa,1018.13 hPa,1017.89 hPa
2026-03-27 21:53:31,1018.00 hPa,1018.13 hPa,1017.89 hPa
2026-03-27 22:23:37,1018.17 hPa,1018.27 hPa,1018.12 hPa
2026-03-27 22:23:37,1018.17 hPa,1018.27 hPa,1018.12 hPa
2026-03-27 22:23:37,1018.17 hPa,1018.27 hPa,1018.12 hPa
2026-03-27 22:53:44,1018.33 hPa,1018.39 hPa,1018.26 hPa
2026-03-27 23:23:50,1018.38 hPa,1018.46 hPa,1018.32 hPa
2026-03-27 23:23:50,1018.38 hPa,1018.46 hPa,1018.32 hPa
2026-03-27 23:53:56,1018.31 hPa,1018.36 hPa,1018.26 hPa
2026-03-27 23:53:56,1018.31 hPa,1018.36 hPa,1018.26 hPa
2026-03-28 00:24:02,1018.22 hPa,1018.37 hPa,1018.12 hPa
2026-03-28 00:54:08,1018.15 hPa,1018.19 hPa,1018.10 hPa
2026-03-28 00:54:08,1018.15 hPa,1018.19 hPa,1018.10 hPa
2026-03-28 00:54:08,1018.15 hPa,1018.19 hPa,1018.10 hPa
2026-03-28 01:24:14,1018.02 hPa,1018.12 hPa,1017.95 hPa
2026-03-28 01:24:14,1018.02 hPa,1018.12 hPa,1017.95 hPa
2026-03-28 01:24:14,1018.02 hPa,1018.12 hPa,1017.95 hPa
2026-03-28 01:54:21,1017.86 hPa,1017.94 hPa,1017.80 hPa
2026-03-28 01:54:21,1017.86 hPa,1017.94 hPa,1017.80 hPa
2026-03-28 02:24:27,1017.79 hPa,1017.86 hPa,1017.72 hPa
2026-03-28 02:54:34,1017.77 hPa,1017.82 hPa,1017.72 hPa
2026-03-28 02:54:34,1017.77 hPa,1017.82 hPa,1017.72 hPa
2026-03-28 02:54:34,1017.77 hPa,1017.82 hPa,1017.72 hPa
2026-03-28 03:24:39,1017.70 hPa,1017.78 hPa,1017.63 hPa
2026-03-28 03:24:39,1017.70 hPa,1017.78 hPa,1017.63 hPa
2026-03-28 03:54:46,1017.55 hPa,1017.72 hPa,1017.45 hPa
2026-03-28 03:54:46,1017.55 hPa,1017.72 hPa,1017.45 hPa
2026-03-28 04:24:52,1017.40 hPa,1017.46 hPa,1017.35 hPa
2026-03-28 04:24:52,1017.40 hPa,1017.46 hPa,1017.35 hPa
2026-03-28 04:54:58,1017.41 hPa,1017.48 hPa,1017.37 hPa
2026-03-28 04:54:58,1017.41 hPa,1017.48 hPa,1017.37 hPa
2026-03-28 05:25:04,1017.66 hPa,1017.85 hPa,1017.48 hPa
2026-03-28 05:25:04,1017.66 hPa,1017.85 hPa,1017.48 hPa
2026-03-28 05:25:04,1017.66 hPa,1017.85 hPa,1017.48 hPa
2026-03-28 05:55:11,1018.04 hPa,1018.15 hPa,1017.85 hPa
2026-03-28 05:55:11,1018.04 hPa,1018.15 hPa,1017.85 hPa
2026-03-28 06:25:17,1018.30 hPa,1018.48 hPa,1018.14 hPa
2026-03-28 06:25:17,1018.30 hPa,1018.48 hPa,1018.14 hPa
2026-03-28 06:55:23,1018.56 hPa,1018.64 hPa,1018.47 hPa
2026-03-28 07:25:29,1018.74 hPa,1018.89 hPa,1018.56 hPa
2026-03-28 07:55:36,1019.20 hPa,1019.46 hPa,1018.88 hPa
2026-03-28 08:25:42,1019.66 hPa,1019.86 hPa,1019.44 hPa
2026-03-28 08:55:48,1020.15 hPa,1020.38 hPa,1019.86 hPa
2026-03-28 09:25:54,1020.50 hPa,1020.60 hPa,1020.39 hPa
2026-03-28 09:25:54,1020.50 hPa,1020.60 hPa,1020.39 hPa
2026-03-28 09:25:54,1020.50 hPa,1020.60 hPa,1020.39 hPa
2026-03-28 09:56:00,1020.72 hPa,1020.84 hPa,1020.55 hPa
2026-03-28 10:26:18,1020.72 hPa,1020.84 hPa,1020.67 hPa
2026-03-28 10:56:24,1020.65 hPa,1020.77 hPa,1020.59 hPa
2026-03-28 11:26:31,1020.63 hPa,1020.74 hPa,1020.56 hPa
2026-03-28 11:56:37,1020.55 hPa,1020.63 hPa,1020.47 hPa
2026-03-28 11:56:37,1020.55 hPa,1020.63 hPa,1020.47 hPa
2026-03-28 12:26:43,1020.39 hPa,1020.52 hPa,1020.20 hPa
2026-03-28 12:56:49,1020.03 hPa,1020.23 hPa,1019.91 hPa
2026-03-28 12:56:49,1020.03 hPa,1020.23 hPa,1019.91 hPa
2026-03-28 13:26:56,1019.77 hPa,1019.96 hPa,1019.58 hPa
2026-03-28 13:57:01,1019.42 hPa,1019.64 hPa,1019.23 hPa
2026-03-28 14:27:08,1019.03 hPa,1019.24 hPa,1018.86 hPa
2026-03-28 14:27:08,1019.03 hPa,1019.24 hPa,1018.86 hPa
2026-03-28 15:27:20,1018.62 hPa,1018.68 hPa,1018.56 hPa
2026-03-28 15:57:32,1018.39 hPa,1018.59 hPa,1018.26 hPa
2026-03-28 15:57:32,1018.39 hPa,1018.59 hPa,1018.26 hPa
2026-03-28 16:27:38,1018.19 hPa,1018.32 hPa,1018.07 hPa
2026-03-28 16:27:38,1018.19 hPa,1018.32 hPa,1018.07 hPa
2026-03-28 16:57:44,1017.99 hPa,1018.07 hPa,1017.92 hPa
2026-03-28 16:57:44,1017.99 hPa,1018.07 hPa,1017.92 hPa
2026-03-28 17:27:51,1017.94 hPa,1018.03 hPa,1017.89 hPa
2026-03-28 17:57:57,1017.93 hPa,1017.99 hPa,1017.88 hPa
2026-03-28 18:28:03,1017.85 hPa,1017.94 hPa,1017.80 hPa
2026-03-28 18:28:03,1017.85 hPa,1017.94 hPa,1017.80 hPa
2026-03-28 19:28:15,1018.06 hPa,1018.17 hPa,1017.97 hPa
2026-03-28 19:58:21,1018.25 hPa,1018.34 hPa,1018.16 hPa
2026-03-28 20:28:33,1018.41 hPa,1018.52 hPa,1018.33 hPa
2026-03-28 20:28:33,1018.41 hPa,1018.52 hPa,1018.33 hPa
2026-03-28 20:58:40,1018.69 hPa,1018.85 hPa,1018.53 hPa
2026-03-28 21:28:46,1018.86 hPa,1018.96 hPa,1018.80 hPa
2026-03-28 21:58:52,1018.97 hPa,1019.02 hPa,1018.93 hPa
2026-03-28 21:58:52,1018.97 hPa,1019.02 hPa,1018.93 hPa
2026-03-28 21:58:52,1018.97 hPa,1019.02 hPa,1018.93 hPa
2026-03-28 22:28:58,1019.02 hPa,1019.10 hPa,1018.98 hPa
2026-03-28 22:59:04,1019.06 hPa,1019.13 hPa,1019.01 hPa
2026-03-28 22:59:04,1019.06 hPa,1019.13 hPa,1019.01 hPa
2026-03-28 22:59:04,1019.06 hPa,1019.13 hPa,1019.01 hPa
2026-03-28 23:29:11,1019.01 hPa,1019.06 hPa,1018.93 hPa
2026-03-28 23:59:17,1018.96 hPa,1019.03 hPa,1018.92 hPa
2026-03-29 00:29:23,1018.96 hPa,1019.03 hPa,1018.91 hPa
2026-03-29 00:59:29,1018.84 hPa,1018.90 hPa,1018.71 hPa
2026-03-29 01:29:36,1018.66 hPa,1018.74 hPa,1018.56 hPa
2026-03-29 01:29:36,1018.66 hPa,1018.74 hPa,1018.56 hPa
2026-03-29 01:29:36,1018.66 hPa,1018.74 hPa,1018.56 hPa
2026-03-29 01:59:42,1018.43 hPa,1018.55 hPa,1018.36 hPa
2026-03-29 02:29:48,1018.25 hPa,1018.37 hPa,1018.15 hPa
2026-03-29 02:59:54,1018.03 hPa,1018.15 hPa,1017.89 hPa
2026-03-29 02:59:54,1018.03 hPa,1018.15 hPa,1017.89 hPa
2026-03-29 03:30:00,1017.97 hPa,1018.01 hPa,1017.89 hPa
2026-03-29 04:00:07,1017.89 hPa,1017.94 hPa,1017.86 hPa
2026-03-29 04:30:13,1017.84 hPa,1017.93 hPa,1017.78 hPa
2026-03-29 04:30:13,1017.84 hPa,1017.93 hPa,1017.78 hPa
2026-03-29 05:00:19,1017.97 hPa,1018.08 hPa,1017.84 hPa
2026-03-29 05:30:25,1018.20 hPa,1018.35 hPa,1018.08 hPa
2026-03-29 06:00:37,1018.36 hPa,1018.43 hPa,1018.34 hPa
2026-03-29 06:00:37,1018.36 hPa,1018.43 hPa,1018.34 hPa
2026-03-29 06:30:43,1018.65 hPa,1018.81 hPa,1018.42 hPa
2026-03-29 07:00:49,1018.96 hPa,1019.16 hPa,1018.79 hPa
2026-03-29 07:30:56,1019.32 hPa,1019.48 hPa,1019.19 hPa
2026-03-29 08:01:02,1019.61 hPa,1019.84 hPa,1019.38 hPa
2026-03-29 08:31:08,1020.10 hPa,1020.32 hPa,1019.85 hPa
2026-03-29 09:01:14,1020.52 hPa,1020.64 hPa,1020.32 hPa
2026-03-29 09:31:20,1020.67 hPa,1020.75 hPa,1020.63 hPa
2026-03-29 10:01:27,1020.75 hPa,1020.80 hPa,1020.70 hPa
2026-03-29 10:31:33,1020.80 hPa,1020.87 hPa,1020.74 hPa
2026-03-29 10:31:33,1020.80 hPa,1020.87 hPa,1020.74 hPa
2026-03-29 11:01:39,1020.72 hPa,1020.84 hPa,1020.61 hPa
2026-03-29 11:01:39,1020.72 hPa,1020.84 hPa,1020.61 hPa
2026-03-29 11:31:45,1020.51 hPa,1020.63 hPa,1020.39 hPa
2026-03-29 12:01:51,1020.26 hPa,1020.45 hPa,1020.11 hPa
2026-03-29 12:31:58,1019.86 hPa,1020.10 hPa,1019.67 hPa
2026-03-29 13:32:10,1019.12 hPa,1019.32 hPa,1018.91 hPa
2026-03-29 14:02:16,1018.70 hPa,1018.92 hPa,1018.50 hPa
2026-03-29 14:02:16,1018.70 hPa,1018.92 hPa,1018.50 hPa
2026-03-29 14:32:23,1018.36 hPa,1018.56 hPa,1018.18 hPa
2026-03-29 15:02:29,1017.89 hPa,1018.15 hPa,1017.63 hPa
2026-03-29 15:32:35,1017.56 hPa,1017.67 hPa,1017.47 hPa
2026-03-29 15:32:35,1017.56 hPa,1017.67 hPa,1017.47 hPa
2026-03-29 15:32:35,1017.56 hPa,1017.67 hPa,1017.47 hPa
2026-03-29 16:02:52,1017.39 hPa,1017.53 hPa,1017.27 hPa
2026-03-29 16:32:58,1017.16 hPa,1017.26 hPa,1017.03 hPa
2026-03-29 17:33:11,1016.90 hPa,1016.97 hPa,1016.82 hPa
2026-03-29 18:03:17,1016.92 hPa,1016.96 hPa,1016.89 hPa
2026-03-29 18:03:17,1016.92 hPa,1016.96 hPa,1016.89 hPa
2026-03-29 18:33:23,1017.12 hPa,1017.27 hPa,1016.92 hPa
2026-03-29 19:03:30,1017.30 hPa,1017.36 hPa,1017.25 hPa
2026-03-29 19:33:36,1017.39 hPa,1017.48 hPa,1017.32 hPa
2026-03-29 19:33:36,1017.39 hPa,1017.48 hPa,1017.32 hPa
2026-03-29 20:03:42,1017.63 hPa,1017.84 hPa,1017.48 hPa
2026-03-29 20:33:48,1017.94 hPa,1018.06 hPa,1017.87 hPa
2026-03-29 21:03:54,1018.16 hPa,1018.28 hPa,1018.07 hPa
2026-03-29 21:34:01,1018.45 hPa,1018.62 hPa,1018.30 hPa
2026-03-29 22:04:07,1018.62 hPa,1018.67 hPa,1018.56 hPa
2026-03-29 22:34:13,1018.57 hPa,1018.61 hPa,1018.52 hPa
2026-03-29 23:04:19,1018.57 hPa,1018.59 hPa,1018.55 hPa
2026-03-29 23:34:26,1018.50 hPa,1018.59 hPa,1018.45 hPa
2026-03-29 23:34:26,1018.50 hPa,1018.59 hPa,1018.45 hPa
2026-03-30 00:34:38,1018.33 hPa,1018.44 hPa,1018.25 hPa
2026-03-30 01:04:50,1018.13 hPa,1018.30 hPa,1017.99 hPa
2026-03-30 01:35:03,1017.87 hPa,1018.00 hPa,1017.76 hPa
2026-03-30 02:05:16,1017.59 hPa,1017.76 hPa,1017.48 hPa
2026-03-30 02:05:16,1017.59 hPa,1017.76 hPa,1017.48 hPa
2026-03-30 02:35:28,1017.31 hPa,1017.47 hPa,1017.17 hPa
2026-03-30 02:35:28,1017.31 hPa,1017.47 hPa,1017.17 hPa
2026-03-30 03:05:48,1017.02 hPa,1017.18 hPa,1016.89 hPa
2026-03-30 03:36:00,1016.76 hPa,1016.92 hPa,1016.61 hPa
2026-03-30 04:36:12,1016.38 hPa,1016.45 hPa,1016.35 hPa
2026-03-30 05:06:18,1016.35 hPa,1016.40 hPa,1016.29 hPa
2026-03-30 05:36:25,1016.42 hPa,1016.49 hPa,1016.37 hPa
2026-03-30 06:06:31,1016.56 hPa,1016.66 hPa,1016.49 hPa
2026-03-30 06:06:31,1016.56 hPa,1016.66 hPa,1016.49 hPa
2026-03-30 06:36:37,1016.71 hPa,1016.80 hPa,1016.66 hPa
2026-03-30 07:06:43,1016.97 hPa,1017.19 hPa,1016.82 hPa
2026-03-30 07:36:49,1017.32 hPa,1017.46 hPa,1017.15 hPa
2026-03-30 07:36:49,1017.32 hPa,1017.46 hPa,1017.15 hPa
2026-03-30 08:06:56,1017.60 hPa,1017.71 hPa,1017.48 hPa
2026-03-30 08:37:02,1017.80 hPa,1017.90 hPa,1017.69 hPa
2026-03-30 08:37:02,1017.80 hPa,1017.90 hPa,1017.69 hPa
2026-03-30 09:07:08,1017.89 hPa,1017.95 hPa,1017.86 hPa
2026-03-30 09:37:14,1017.98 hPa,1018.08 hPa,1017.89 hPa
2026-03-30 09:37:14,1017.98 hPa,1018.08 hPa,1017.89 hPa
2026-03-30 09:37:14,1017.98 hPa,1018.08 hPa,1017.89 hPa
2026-03-30 10:07:21,1017.92 hPa,1018.03 hPa,1017.86 hPa
2026-03-30 11:07:33,1017.71 hPa,1017.80 hPa,1017.63 hPa
2026-03-30 11:37:45,1017.54 hPa,1017.64 hPa,1017.44 hPa
2026-03-30 12:07:58,1017.26 hPa,1017.48 hPa,1017.01 hPa
2026-03-30 12:38:11,1016.88 hPa,1017.06 hPa,1016.69 hPa
2026-03-30 13:08:23,1016.50 hPa,1016.72 hPa,1016.26 hPa
2026-03-30 13:38:36,1016.08 hPa,1016.27 hPa,1015.88 hPa
2026-03-30 13:38:36,1016.08 hPa,1016.27 hPa,1015.88 hPa
2026-03-30 14:08:48,1015.67 hPa,1015.89 hPa,1015.46 hPa
2026-03-30 15:09:01,1014.72 hPa,1014.99 hPa,1014.49 hPa
2026-03-30 16:09:13,1013.92 hPa,1014.17 hPa,1013.73 hPa
2026-03-30 16:09:13,1013.92 hPa,1014.17 hPa,1013.73 hPa
2026-03-30 16:39:25,1013.62 hPa,1013.72 hPa,1013.55 hPa
2026-03-30 17:09:31,1013.65 hPa,1013.71 hPa,1013.60 hPa
2026-03-30 17:09:31,1013.65 hPa,1013.71 hPa,1013.60 hPa
